ACTION,RESOURCE,MGR_ID,ROLE_ROLLUP_1,ROLE_ROLLUP_2,ROLE_DEPTNAME,ROLE_TITLE,ROLE_FAMILY_DESC,ROLE_FAMILY,ROLE_CODE
0,4675,50997,91261,118026,118202,119962,168365,118205,119964
1,95836,18181,117961,118343,118514,118321,117906,290919,118322
0,19484,6657,118219,118220,118221,117885,117886,117887,117888
1,114267,23136,117961,118052,119742,118321,117906,290919,118322
1,35197,57715,117961,118446,118701,118702,118703,118704,118705
1,86316,7002,117961,118343,123125,118278,132715,290919,118279
1,27785,5636,117961,118413,122007,118321,117906,290919,118322
1,37427,5220,117961,118300,118458,120006,303717,118424,120008
1,15672,111936,117961,118300,118783,117905,240983,290919,117908
1,92885,744,117961,118300,119181,118777,279443,308574,118779
1,1020,85475,117961,118300,120410,118321,117906,290919,118322
1,4675,7551,117961,118052,118867,118259,117906,290919,118261
0,41334,28253,118315,118463,123089,118259,128796,290919,118261
0,77385,14829,117961,118052,119986,117905,117906,290919,117908
0,20273,11506,118216,118587,118846,179731,128361,117887,117973
0,78098,46556,118090,118091,117884,118568,165015,19721,118570
0,79328,4219,117961,118300,120312,120313,144958,118424,120315
0,23921,4953,117961,118343,119598,120344,310997,118424,120346
0,34687,815,117961,118300,123719,117905,117906,290919,117908
0,43452,169112,117902,118041,119781,118563,121024,270488,118565
0,33248,4929,117961,118300,118825,118826,226343,118424,118828
0,78282,7445,117961,118343,122299,118054,121350,117887,118055
0,17183,794,118752,119070,117945,280788,152940,292795,119082
0,38658,1912,119134,119135,118042,120097,174445,270488,120099
0,14354,50368,117926,118266,117884,118568,281735,19721,118570
0,45019,1080,117961,118327,118378,120952,120953,118453,120954
0,13878,1541,117961,118225,123173,120812,123174,118638,120814
0,14570,46805,117929,117930,117920,118568,281735,19721,118570
0,74310,49521,117961,118300,118301,119849,235245,118638,119851
0,6977,1398,117961,118300,120722,118784,130735,290919,118786
0,31613,5899,117961,118327,120318,118777,296252,308574,118779
0,1020,21127,117961,118052,119408,118777,279443,308574,118779
0,32270,3887,117961,118343,120347,120348,265969,118295,120350
0,19629,19645,117961,118413,118481,118784,240983,290919,118786
0,15702,1938,117961,118300,118066,120560,304465,118643,120562
0,113037,5396,117961,118343,119993,120773,118959,118960,120774
0,20279,17695,117890,117891,117878,117879,117879,19721,117880
0,80746,16690,117961,118446,119064,122022,131302,119221,122024
0,80263,36145,117961,118052,120304,307024,311622,118331,118332
0,73753,70062,117961,118386,118746,117905,117906,290919,117908
0,39883,7551,117961,118052,118867,117905,172635,290919,117908
0,25993,7023,117961,117962,119223,118259,118260,290919,118261
0,78106,50613,117916,118150,118810,118568,159905,19721,118570
0,33150,1915,117961,118300,119181,118784,117906,290919,118786
0,34817,5899,117961,118327,120318,118641,240982,118643,118644
0,28354,3860,117961,118446,120317,118321,117906,290919,118322
0,33642,13196,117951,117952,117941,117879,117897,19721,117880
0,26430,56310,118212,118580,117895,117896,117913,117887,117898
0,28149,50120,91261,118026,119507,118321,117906,290919,118322
0,40867,6736,117961,117969,6725,122290,268766,6725,122292
0,20293,273476,117926,118266,117920,118568,310732,19721,118570
0,36020,2163,118219,118220,120694,118777,130218,308574,118779
0,60006,16821,117961,118225,120535,118396,269406,118398,118399
0,35043,14800,117961,117962,118352,118784,117906,290919,118786
0,17308,4088,117961,118300,118458,118728,223125,118295,118730
0,15716,18073,118256,118257,118623,118995,286106,292795,118997
0,39883,55956,118555,118178,119262,117946,119727,292795,117948
0,42031,88387,118315,118463,118522,119172,121927,118467,119174
0,27124,2318,117961,118327,118933,117905,117906,290919,117908
0,35498,18454,117961,118343,119598,125171,257115,118424,125173
0,79168,58465,118602,118603,117941,117885,119621,117887,117888
0,2252,782,117961,118413,127522,118784,240983,290919,118786
0,45652,7338,117961,118225,119924,118321,118448,290919,118322
0,23921,4145,117961,118300,120026,307024,303717,118331,118332
0,95247,50690,118269,118270,117878,118568,118568,19721,118570
0,78844,15645,117961,118052,122392,128903,160695,292795,128905
0,19481,10627,118106,118107,119565,179731,155780,117887,117973
0,18380,44022,117961,117962,122215,127782,130085,290919,127783
0,37734,58406,117975,117976,117884,117885,117913,117887,117888
0,3853,17550,117961,118446,118684,118321,117906,290919,118322
0,278393,7076,117961,118225,120323,119093,136840,119095,119096
0,35625,6454,117961,118343,118856,117905,240983,290919,117908
0,35066,17465,91261,118026,118202,118278,118260,290919,118279
0,3853,5043,117961,118300,118458,120006,310997,118424,120008
0,41569,16671,117961,118052,118706,118523,310608,118331,118525
0,25862,46224,117961,118327,118378,120952,143223,118453,120954
0,75078,45963,117961,118386,118896,122645,309858,119221,122647
0,1020,1483,117961,117962,118840,118641,306399,118643,118644
0,22956,3967,117961,118052,118706,118321,117906,290919,118322
0,20364,2612,117961,118386,123901,117905,117906,290919,117908
0,28943,7547,117961,118052,118933,118784,213944,290919,118786
0,75329,17414,118752,119070,118042,118043,151099,270488,118046
0,41569,70066,91261,118026,118202,117905,117906,290919,117908
0,4684,50806,117961,118446,119961,118259,118260,290919,118261
0,77943,4478,117961,118386,118692,118321,117906,290919,118322
0,43452,7790,118573,118574,117945,117946,120541,292795,117948
0,20364,3119,117961,118300,120312,119849,236236,118638,119851
0,38704,12732,117910,117911,117912,117885,117913,117887,117888
0,75834,122272,117961,118225,122273,118321,240983,290919,118322
0,4675,205,117961,118386,118746,118321,240983,290919,118322
0,4675,1928,117961,118300,123719,117905,117906,290919,117908
0,77357,14731,117961,118446,118447,118321,117906,290919,118322
0,15020,2518,117961,118300,19772,118777,164026,308574,118779
0,32270,21303,117961,118300,119890,307024,152866,118331,118332
0,20222,46663,118256,118257,118623,118995,118806,292795,118997
0,78229,7023,117961,117962,119223,118259,118260,290919,118261
0,20226,794,118752,119070,117945,280788,152940,292795,119082
0,79092,17199,117961,117969,118970,118890,152357,118398,118892
0,36252,273476,117926,118266,117920,118568,310732,19721,118570
1,80195,1325,117961,117962,118910,117905,240983,290919,117908
1,75047,56201,91261,118026,118746,119962,168365,118205,119964
1,38385,70066,91261,118026,118202,117905,117906,290919,117908
1,87066,59012,117893,117894,117895,117896,117897,117887,117898
1,39396,53348,117961,117969,118970,118396,269406,118398,118399
1,40237,102232,91261,118026,118027,273308,120093,249618,118232
1,43877,50193,118079,118080,117878,117879,118177,19721,117880
1,77216,8243,117887,118178,118320,118321,117906,290919,118322
1,6690,4588,117961,118225,118403,118321,117906,290919,118322
1,27258,4375,117961,118343,120347,118422,300136,118424,118425
1,16191,25618,117961,118327,118320,118641,150275,118643,118644
1,78591,88283,117893,117894,117895,118568,117897,19721,118570
1,34924,27,117961,118413,120370,118321,117906,290919,118322
1,18591,5432,117961,118327,118391,118641,123881,118643,118644
1,26396,99,119920,119921,142145,128230,302830,4673,128231
1,17308,49440,117961,118300,118631,118422,142573,118424,118425
1,14354,28020,117993,117994,117895,117879,117897,19721,117880
1,78079,45964,117961,118386,118896,125793,125794,118643,125795
1,34061,26321,117961,118327,118320,118784,240983,290919,118786
1,16443,4659,117961,118225,120663,118784,147114,290919,118786
1,23096,8563,117961,118300,118783,117905,117906,290919,117908
1,75078,70692,118315,118316,118202,118784,253978,290919,118786
1,15360,51761,117961,118413,120370,117905,117906,290919,117908
1,73995,17549,117961,118446,119064,120690,136365,290919,120692
1,64721,52525,117983,117984,117878,117879,117879,19721,117880
1,43583,1755,117961,117962,119223,125793,139296,118643,125795
1,34498,281951,118290,118291,119837,120344,142386,118424,120346
1,33054,13864,117961,118446,123858,119849,244844,118638,119851
1,44451,44022,117961,117962,122215,118321,160543,290919,118322
1,27407,14638,117961,118052,118821,117905,117906,290919,117908
1,15714,7806,118573,118574,117945,280788,280788,292795,119082
1,45904,13037,118006,118007,118008,117879,117897,19721,117880
1,45700,5409,117961,118343,119993,117905,240983,290919,117908
1,116214,3000,117961,118225,120551,117905,240983,290919,117908
0,80177,5919,117961,118446,16232,118784,121873,290919,118786
1,31604,2014,117961,117962,117904,119949,311441,290919,119951
1,20218,46632,119280,119281,118623,280788,130913,292795,119082
1,37410,2858,118219,118220,118344,127847,128352,118347,127848
1,32634,141,117961,118225,122273,118321,117906,290919,118322
1,45300,111559,117961,118225,119824,118702,129851,118704,118705
1,42085,7520,117961,118343,124725,118784,117906,290919,118786
1,3719,1895,117902,117903,118783,118451,122352,118453,118454
1,25993,5659,117961,118300,124725,117905,117906,290919,117908
1,74902,19623,117961,118225,118403,117905,141377,290919,117908
1,80202,2299,117961,117962,119223,123737,131844,118960,123738
1,36976,19857,117929,117940,117941,117885,117913,117887,117888
0,31441,18011,117961,117969,118560,118674,131356,19793,118676
1,16443,6727,117961,117969,6725,125687,259130,6725,125689
1,38710,58699,118090,118091,117884,117885,117913,117887,117888
1,27287,25264,117961,118327,122109,118685,279443,308574,118687
1,6449,25607,117961,118343,118856,118368,118368,117887,118486
1,25734,3993,117961,118343,119598,124576,124577,118424,124578
1,31661,15967,117961,118300,124942,118321,240983,290919,118322
1,28149,109452,91261,118026,121533,118318,168365,118205,118319
1,3264,3509,118752,119070,118042,118563,194960,270488,118565
1,35916,7459,5110,117954,122672,125751,135104,118870,125753
1,26430,33658,119665,119666,117895,117896,117897,117887,117898
1,45904,55132,118169,118170,118042,118043,129174,270488,118046
1,4675,8343,119301,119302,119303,118321,117906,290919,118322
1,15019,133801,119062,119091,118535,118451,130134,118453,118454
1,79130,24916,91261,118026,121667,119409,185122,119006,119411
1,28796,23200,117961,118343,123125,118784,117906,290919,118786
1,32270,3077,117961,118300,120312,140847,140848,118363,140849
1,33248,5234,117961,118343,118660,119433,133686,118424,119435
1,35376,25318,117961,118052,121667,122060,152987,290919,122062
0,20218,15616,119280,119281,118623,118995,286106,292795,118997
1,73756,77555,126918,126919,119136,119065,246580,118667,119067
0,6977,21879,117961,117969,118970,118368,189586,117887,118486
1,16070,770,117961,118300,119181,118747,130134,118453,118749
1,79299,17414,118752,119070,118042,118043,151099,270488,118046
1,4675,3889,117961,118386,128823,117905,117906,290919,117908
1,81350,4903,118290,118291,118825,118980,184350,118295,118982
1,35265,59312,118441,118442,118378,119192,300603,119184,119194
0,41115,2612,117961,118386,123901,117905,117906,290919,117908
1,31825,5137,118212,118213,123614,123615,301534,118424,123617
0,111915,5163,118290,118291,118597,118422,122739,118424,118425
1,23970,3990,117961,117962,118409,122645,151214,119221,122647
1,312028,27540,118084,118085,117941,117879,117886,19721,117880
1,707,25237,117961,117962,118910,117905,117906,290919,117908
1,45904,133889,118006,118007,118008,118568,127856,19721,118570
1,40069,4026,117961,118300,118301,120497,149226,118424,120499
1,94157,56201,91261,118026,118746,119962,168365,118205,119964
1,45241,51165,117983,117984,117878,118568,120877,19721,118570
1,39262,23344,117961,118052,119742,120690,127922,290919,120692
1,31825,4909,117961,118300,118458,120006,143820,118424,120008
1,39448,7019,119134,119135,118597,118777,308574,308574,118779
1,3853,3966,117961,118343,122012,118321,290878,290919,118322
1,3719,3569,119062,119091,118507,120990,120991,118398,120992
1,77905,5871,117876,117877,118344,157347,135522,118347,157348
1,37651,59000,118181,118182,117941,118568,292195,19721,118570
1,18632,30533,91261,118026,119507,123045,123107,120518,123047
1,74883,4871,117961,118300,125872,120006,159698,118424,120008
0,43695,19830,119062,119091,123125,118784,121556,290919,118786
1,34950,7629,117961,118327,120383,118321,149826,290919,118322
1,39883,53049,117961,118052,118053,118054,118054,117887,118055
1,42093,59765,117961,118386,118317,118523,294485,118331,118525
1,698,783,117961,118413,127522,121594,126485,4673,121596
1,45798,117445,119062,119091,118535,117905,117906,290919,117908
1,75932,58525,117890,117891,117878,117879,117879,19721,117880
1,35499,3722,117961,118300,120059,119849,124718,118638,119851
